CSE_PlayerID,CSE_EventID,Bucket,Date,CollegeDivision,CollegePlayerType,Obj_FootSpeed_H11,Obj_FootSpeed_H12,Obj_FootSpeed_HH1,Obj_FootSpeed_HH2,Obj_ArmVelo_Throw1,Obj_ArmVelo_Throw2,Obj_ArmVelo_Throw3,Obj_ArmVelo_Throw4,Obj_ArmVelo_Throw5,Obj_ArmVelo_Throw6,Obj_PopTime_Throw1,Obj_PopTime_Throw2,Obj_PopTime_Throw3,Obj_PopTime_Throw4,Obj_ExitVelo_Swing1,Obj_ExitVelo_Swing2,Obj_ExitVelo_Swing3,Plane,Connection,Rotation,BatSpeed,RotationalAcceleration,OnPlaneEfficiency,Power,TimeToContact,PeakHandSpeed
1312,516,4,10/12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,516,4,10/12/2020,,,3.25,3.2,13.02,12.67,61,61,63,,,,,,,,,,,53,42,71,59.7,14.9,66,2.25,0.16,16
1314,516,4,10/12/2020,,,3.03,2.82,11.96,11.76,60,60,60,,,,,,,,,,,69,58,48,52.7,7.3,82,1.44,0.19,14.9
1315,516,4,10/12/2020,,,3.39,3.19,12.64,12.79,55,54,55,,,,,,,,,,,57,58,58,64.1,10.5,70,2.39,0.17,20.1
1316,516,4,10/12/2020,,,2.84,3.13,13.22,13.06,50,50,50,,,,,,,,,,,44,44,40,53.4,4.7,56,1.32,0.18,15.7
1316,516,4,10/12/2020,,,2.84,3.13,13.22,13.06,50,50,50,,,,,,,,,,,62,63,47,50.5,7,76,1.32,0.19,15.1
1318,516,4,10/12/2020,,,3.35,3.19,13.22,13.34,58,54,57,,,,,,,,,,,,,,,,,,,
1319,516,4,10/12/2020,,,3.06,2.66,11.73,11.57,54,55,57,,,,,,,,,,,66,38,49,54.1,7.6,79,1.6,0.18,14.9
1320,516,4,10/12/2020,,,3.44,3.38,12.95,13.07,,,56,,,,,,,,,,,,,,,,,,,
1321,516,4,10/12/2020,,,3.03,3.08,12.5,12.47,56,55,56,,,,,,,,,,,63,59,47,58.6,6.9,76,1.8,0.19,16.8
