,CollegePlayerType,Plane,Connection,Rotation,BatSpeed,RotationalAcceleration,OnPlaneEfficiency,Power,TimeToContact,PeakHandSpeed,H1,HH,armVelo,exitVelo
0,Starter,46.0,51.0,48.0,55.9,7.2,58.0,1.7,0.18,15.5,3.105,11.835,56.66666666666666,60.0
1,Starter,47.0,49.0,61.0,65.5,11.7,60.0,2.64,0.16,20.3,3.24,12.07,52.5,72.33333333333333
2,Starter,40.0,48.0,58.0,61.1,10.8,52.0,2.41,0.16,16.3,3.05,11.245,51.66666666666666,64.33333333333333
3,Starter,27.0,47.0,45.0,66.9,7.7,44.0,2.73,0.17,20.8,3.13,11.185,49.333333333333336,78.0
4,Role Player,48.0,46.0,55.0,62.1,9.4,61.0,2.34,0.18,17.1,3.5,11.93,51.0,64.0
5,Role Player,66.0,54.0,36.0,63.9,3.4,80.0,2.1,0.2,17.2,3.125,10.995,49.833333333333336,68.66666666666667
6,Role Player,77.0,43.0,80.0,57.9,21.2,91.0,2.32,0.15,18.0,3.24,12.05,52.16666666666666,72.66666666666667
7,Role Player,59.0,59.0,40.0,56.4,5.7,74.0,1.79,0.18,18.1,3.4850000000000003,12.76,46.5,62.333333333333336
8,Starter,40.0,52.0,45.0,63.8,6.2,52.0,2.46,0.18,18.3,3.2,12.61,47.16666666666666,67.66666666666667
9,Starter,66.0,62.0,54.0,62.2,9.3,80.0,2.41,0.17,18.8,3.665,13.87,51.66666666666666,68.66666666666667
10,Impact Player,64.0,71.0,69.0,58.2,14.4,77.0,2.35,0.15,18.1,3.17,11.835,51.333333333333336,76.33333333333333
11,Role Player,62.0,55.0,53.0,63.0,9.0,75.0,2.32,0.17,18.0,3.28,11.675,52.66666666666666,70.0
12,Role Player,57.0,58.0,63.0,70.5,12.3,71.0,3.55,0.14,17.6,3.045,11.295,55.333333333333336,66.66666666666667
13,Role Player,35.0,43.0,59.0,56.6,11.1,47.0,1.9,0.17,19.2,3.27,12.92,59.5,69.0
14,Role Player,68.0,66.0,51.0,62.7,8.1,81.0,2.37,0.16,19.2,2.91,11.74,54.833333333333336,69.66666666666667
15,Role Player,54.0,37.0,71.0,55.0,14.9,67.0,1.96,0.15,20.5,3.16,11.88,59.16666666666666,68.33333333333333
16,Impact Player,56.0,42.0,39.0,57.6,5.6,70.0,1.89,0.18,16.0,2.99,11.47,62.0,65.33333333333333
17,Impact Player,54.0,52.0,64.0,65.6,13.9,69.0,3.05,0.15,21.2,3.09,12.03,58.833333333333336,80.33333333333333
18,Starter,56.0,61.0,44.0,61.4,7.1,70.0,2.26,0.18,16.4,3.76,14.09,55.833333333333336,73.66666666666667
19,Starter,59.0,59.0,63.0,59.8,13.6,74.0,2.45,0.15,18.9,2.98,11.61,53.16666666666666,77.0
20,Role Player,50.0,52.0,55.0,61.4,11.0,65.0,2.37,0.17,17.6,3.5,13.69,62.16666666666666,74.0
