,CSE_PlayerID,CSE_EventID,Bucket,Date,CollegeDivision,CollegePlayerType,Obj_FootSpeed_H11,Obj_FootSpeed_H12,Obj_FootSpeed_HH1,Obj_FootSpeed_HH2,Obj_ArmVelo_Throw1,Obj_ArmVelo_Throw2,Obj_ArmVelo_Throw3,Obj_ArmVelo_Throw4,Obj_ArmVelo_Throw5,Obj_ArmVelo_Throw6,Obj_PopTime_Throw1,Obj_PopTime_Throw2,Obj_PopTime_Throw3,Obj_PopTime_Throw4,Obj_ExitVelo_Swing1,Obj_ExitVelo_Swing2,Obj_ExitVelo_Swing3,Plane,Connection,Rotation,BatSpeed,RotationalAcceleration,OnPlaneEfficiency,Power,TimeToContact,PeakHandSpeed,H1,HH,armVelo,exitVelo,notEmpty
250,4698,782,2,10/13/2021,DIvision 1 Mid-Major,Impact Player,3.25,3.22,13.13,,54,54,58,,,,,,,,69,64,65,57,47,62,61.2,12,70,2.33,0.17,18.9,3.235,13.13,55.33333333,66,4
252,4700,782,2,10/13/2021,DIvision 1 Mid-Major,Impact Player,3.28,3.24,12.98,,53,58,60,,,,1.81,1.75,1.78,1.75,70,70,70,57,59,78,57.1,18,70,1.96,0.16,19.7,3.26,12.98,57,70,5
253,4701,782,2,10/13/2021,DIvision 1 Mid-Major,Role Player,3.12,3.11,12.56,,59,60,59,,,,,,,,67,66,62,59,65,38,59.2,4.1,72,1.99,0.18,16.4,3.115,12.56,59.33333333,65,4
254,4702,782,2,10/13/2021,DIvision 1 Mid-Major,Role Player,3.01,3,11.88,,61,62,62,,,,,,,,56,61,55,72,41,55,52.8,9.6,85,1.57,0.17,15.3,3.005,11.88,61.66666667,57.33333333,4
257,4705,782,2,10/13/2021,DIvision 1 Mid-Major,Impact Player,3.11,3.13,12.54,,49,49,53,,,,,,,,70,62,70,32,61,56,57,9.8,44,2,0.17,16.9,3.12,12.54,50.33333333,67.33333333,4
258,4706,782,2,10/13/2021,DIvision 1 Mid-Major,Impact Player,2.93,2.88,11.79,,62,62,63,,,,,,,,57,59,59,45,52,62,64.6,12,58,2.8,0.15,17.5,2.905,11.79,62.33333333,58.33333333,4
259,4707,782,2,10/13/2021,DIvision 1 Mid-Major,Role Player,2.87,2.8,11.42,,62,66,65,,,,,,,,50,48,48,,,,,,,,,,2.835,11.42,64.33333333,48.66666667,4
261,4709,782,2,10/13/2021,DIvision 1 Mid-Major,Impact Player,3,3.03,11.72,,56,58,55,,,,,,,,56,57,52,52,51,57,59.1,10.4,65,2.12,0.16,16.6,3.015,11.72,56.33333333,55,4
262,4710,782,2,10/13/2021,DIvision 1 Mid-Major,Starter,3.54,3.36,12.48,,57,57,59,,,,,,,,55,53,54,40,47,45,53.9,6.1,52,1.5,0.19,14.1,3.45,12.48,57.66666667,54,4
263,4711,782,2,10/13/2021,DIvision 1 Mid-Major,Starter,3.15,3.2,12.72,,54,49,53,,,,1.88,1.91,2.09,1.84,69,69,64,46,48,76,56.1,17.7,59,1.96,0.16,19,3.175,12.72,52,67.33333333,5
264,4712,782,2,10/13/2021,DIvision 1 Mid-Major,Role Player,3.07,3.11,12.87,,54,53,55,,,,,,,,55,62,61,46,53,48,61.1,7.3,59,2.05,0.18,17.7,3.09,12.87,54,59.33333333,4
265,4713,782,2,10/13/2021,DIvision 1 Mid-Major,Role Player,3.06,3.05,13.2,,56,58,58,,,,,,,,69,66,60,37,46,61,59.8,11.7,49,2.27,0.16,17.4,3.055,13.2,57.33333333,65,4
266,4714,782,2,10/13/2021,DIvision 1 Mid-Major,Role Player,2.95,2.88,11.77,,58,59,59,,,,1.88,1.87,1.94,1.91,64,69,79,58,38,76,65.2,17.8,71,2.74,0.15,18.6,2.915,11.77,58.66666667,70.66666667,5
267,4715,782,2,10/13/2021,DIvision 1 Mid-Major,Role Player,2.97,2.95,11.76,,65,66,66,,,,1.84,1.72,1.9,1.84,59,57,64,52,49,78,58.4,21.2,64,2.24,0.15,20.1,2.96,11.76,65.66666667,60,5
268,4716,782,2,10/13/2021,DIvision 1 Mid-Major,Role Player,2.91,2.92,11.44,,52,54,51,,,,,,,,76,78,77,51,60,80,66.4,23.2,64,3.46,0.13,20.5,2.915,11.44,52.33333333,77,4
269,4717,782,2,10/13/2021,DIvision 1 Mid-Major,Starter,2.75,2.74,10.7,,56,55,57,,,,,,,,48,56,52,43,42,40,61.4,4.6,56,1.88,0.2,17.3,2.745,10.7,56,52,4
270,4718,782,2,10/13/2021,DIvision 1 Mid-Major,Starter,3.03,3.02,11.98,,66,66,65,,,,,,,,67,66,68,49,43,50,58.1,7.8,62,1.87,0.18,16.6,3.025,11.98,65.66666667,67,4
271,4719,782,2,10/13/2021,DIvision 1 Mid-Major,Starter,2.98,2.97,11.72,,53,56,57,,,,,,,,62,61,61,60,57,71,58.7,15.7,73,2.22,0.15,18.6,2.975,11.72,55.33333333,61.33333333,4
529,4858,797,2,10/16/2021,DIvision 1 Mid-Major,Role Player,3.07,2.88,12.07,11.72,61,61,60,61,60,61,,,,,60,60,61,59,49,50,52.8,8.1,72,1.31,0.18,16.1,2.975,11.895,60.66666667,60.33333333,4
530,4859,797,2,10/16/2021,DIvision 1 Mid-Major,Role Player,2.74,2.71,11.29,11.53,60,60,61,61,60,61,,,,,56,70,72,65,53,65,55.6,13,78,1.6,0.16,20.2,2.725,11.41,60.5,66,4
531,4860,797,2,10/16/2021,DIvision 1 Mid-Major,Starter,2.89,2.69,11.71,11.75,63,63,62,64,66,65,,,,,74,65,69,43,52,45,58,6.2,55,1.76,0.16,16.8,2.79,11.73,63.83333333,69.33333333,4
532,4861,797,2,10/16/2021,DIvision 1 Mid-Major,Role Player,2.64,2.5,11.11,11.2,53,55,52,55,54,53,,,,,68,70,62,52,61,43,43.4,5.5,65,0.87,0.19,14,2.57,11.155,53.66666667,66.66666667,4
533,4862,797,2,10/16/2021,DIvision 1 Mid-Major,Role Player,3.16,2.92,12.12,12.24,60,62,61,62,61,,,,,,69,53,57,39,51,52,53.6,8.7,52,1.36,0.18,17.6,3.04,12.18,61.2,59.66666667,4
534,4863,797,2,10/16/2021,DIvision 1 Mid-Major,Impact Player,2.73,2.71,11.72,11.53,57,60,58,60,58,60,,,,,73,73,73,56,43,60,50.2,11.4,70,1.42,0.15,17.3,2.72,11.625,58.83333333,73,4
535,4864,797,2,10/16/2021,DIvision 1 Mid-Major,Starter,3.3,3.23,12.89,12.69,58,61,62,63,60,63,,,,,64,68,67,40,57,52,55.5,8.6,53,1.42,0.19,17.8,3.265,12.79,61.16666667,66.33333333,4
536,4865,797,2,10/16/2021,DIvision 1 Mid-Major,Role Player,2.72,2.7,11.27,11.45,58,58,58,58,59,58,,,,,68,75,67,62,51,54,54,9.3,76,1.44,0.17,18.4,2.71,11.36,58.16666667,70,4
537,4866,797,2,10/16/2021,DIvision 1 Mid-Major,Role Player,2.8,2.8,11.43,11.4,59,60,61,61,60,61,,,,,69,69,69,64,61,80,53.7,19.7,77,1.58,0.16,19.4,2.8,11.415,60.33333333,69,4
539,4868,797,2,10/16/2021,DIvision 1 Mid-Major,Role Player,3.06,2.97,12.71,12.45,61,61,62,62,61,62,,,,,72,69,57,50,66,74,61.6,16,63,2.41,0.15,20.5,3.015,12.58,61.5,66,4
541,4870,797,2,10/16/2021,DIvision 1 Mid-Major,Starter,2.99,2.91,12.17,12.11,57,57,60,58,60,57,1.63,1.72,1.59,1.64,69,68,68,43,54,78,57.6,17.3,55,1.76,0.16,19.5,2.95,12.14,58.16666667,68.33333333,5
543,4872,797,2,10/16/2021,DIvision 1 Mid-Major,Starter,2.85,2.6,11.38,11.43,55,59,56,56,56,58,,,,,69,70,68,45,59,53,50.7,8.9,58,1.27,0.17,18.3,2.725,11.405,56.66666667,69,4
544,4873,797,2,10/16/2021,DIvision 1 Mid-Major,Starter,2.63,2.71,11.79,11.46,62,61,62,61,61,62,,,,,62,66,69,39,34,54,54.3,9.2,52,1.43,0.18,17.4,2.67,11.625,61.5,65.66666667,4
545,4874,797,2,10/16/2021,DIvision 1 Mid-Major,Starter,2.92,2.88,11.89,11.75,59,59,57,57,60,61,,,,,64,72,65,42,62,73,53.3,15.7,55,1.55,0.16,19.8,2.9,11.82,58.83333333,67,4
546,4875,797,2,10/16/2021,DIvision 1 Mid-Major,Impact Player,2.96,2.9,12.05,12.27,59,58,58,57,58,58,,,,,71,71,70,56,60,51,59.5,8.4,69,1.9,0.16,17.8,2.93,12.16,58,70.66666667,4
547,4876,797,2,10/16/2021,DIvision 1 Mid-Major,Starter,3,2.91,11.77,11.97,55,56,54,56,55,56,1.66,1.81,1.78,1.75,62,65,67,57,50,46,55.9,6.5,70,1.45,0.18,17,2.955,11.87,55.33333333,64.66666667,5
548,4877,797,2,10/16/2021,DIvision 1 Mid-Major,Impact Player,2.79,2.81,11.36,11.62,58,59,57,59,60,59,,,,,70,72,61,58,49,79,52,19.3,71,1.6,0.14,20.8,2.8,11.49,58.66666667,67.66666667,4
550,4879,797,2,10/16/2021,DIvision 1 Mid-Major,Role Player,3.03,2.99,11.96,12.2,55,56,54,56,55,56,1.62,1.65,1.65,1.62,64,59,64,59,65,66,50.6,13.2,72,1.26,0.17,17.7,3.01,12.08,55.33333333,62.33333333,5
553,3149,799,2,9/2/2021,Division 2,Starter,3.2,3.2,13.2,13.3,61,60,59,60,,,,,,,63,62,62,65,70,53,57.3,9,78,2.1,0.16,16.6,3.2,13.25,60,62.33333333,4
554,3150,799,2,9/2/2021,Division 2,Starter,3.1,3,12.3,12.3,57,54,56,54,,,,,,,68,65,66,73,71,62,59.8,13.2,87,2.42,0.15,18.4,3.05,12.3,55.25,66.33333333,4
555,3151,799,2,9/2/2021,Division 2,Impact Player,3.1,3.1,12.3,12.5,56,56,55,55,,,,,,,62,63,70,41,48,49,60.7,9,57,2.16,0.17,18.2,3.1,12.4,55.5,65,4
556,3152,799,2,9/2/2021,Division 2,Role Player,3.2,3.1,12.8,13.1,55,59,57,57,,,,,,,56,43,49,60,58,54,51.9,9.3,74,1.48,0.18,18.8,3.15,12.95,57,49.33333333,4
558,3154,799,2,9/2/2021,Division 2,Starter,3.4,3.4,13.9,13.9,56,57,55,55,,,2.03,2,1.91,,60,61,60,35,53,48,56,7.3,47,1.71,0.19,16.4,3.4,13.9,55.75,60.33333333,5
559,3155,799,2,9/2/2021,Division 2,Impact Player,2.9,3,12.3,12.2,57,58,57,58,,,,,,,60,58,60,58,64,48,54.9,8.6,72,1.83,0.17,16.3,2.95,12.25,57.5,59.33333333,4
560,3156,799,2,9/2/2021,Division 2,Starter,3.3,3.2,13,13.3,61,62,62,61,,,1.88,1.9,1.97,,55,68,69,35,44,40,60.1,4.6,47,1.91,0.19,17.1,3.25,13.15,61.5,64,5
561,3157,799,2,9/2/2021,Division 2,Starter,2.9,2.9,12,12.1,55,56,56,57,,,,,,,54,49,55,55,54,51,43.8,8.1,68,0.98,0.19,15.1,2.9,12.05,56,52.66666667,4
564,3160,799,2,9/2/2021,Division 2,Starter,3.2,3.1,12.9,13,58,54,57,55,,,,,,,44,37,59,76,54,50,54.8,8.1,90,1.74,0.17,16.9,3.15,12.95,56,46.66666667,4
566,3162,799,2,9/2/2021,Division 2,Role Player,3.1,3.1,12.5,12.6,50,49,50,51,,,,,,,63,63,57,64,61,54,56.9,10.6,79,2.08,0.16,16.4,3.1,12.55,50,61,4
567,3163,799,2,9/2/2021,Division 2,Role Player,3.1,3,12.9,13.3,54,52,53,53,,,,,,,66,66,62,69,65,73,59.8,15.6,83,2.33,0.16,19.4,3.05,13.1,53,64.66666667,4
569,3165,799,2,9/2/2021,Division 2,Role Player,2.9,2.8,11.7,11.8,51,52,53,53,,,,,,,49,51,48,39,40,42,50.5,5.1,51,1.34,0.2,16.3,2.85,11.75,52.25,49.33333333,4
570,3166,799,2,9/2/2021,Division 2,Starter,3,3,12.3,12.5,57,60,59,60,,,,,,,62,63,61,59,60,55,56.5,11,74,1.97,0.16,17.3,3,12.4,59,62,4
571,3167,799,2,9/2/2021,Division 2,Starter,3.1,3,12.2,12.3,60,60,60,60,,,,,,,56,54,55,65,42,75,55.6,16.5,78,2.23,0.14,17.9,3.05,12.25,60,55,4
572,3168,799,2,9/2/2021,Division 2,Role Player,3.2,3.2,13.1,13.3,59,61,61,60,,,,,,,51,59,61,54,48,48,53.7,7.3,67,1.5,0.19,14.4,3.2,13.2,60.25,57,4
643,5575,803,2,11/10/2021,Division 2,Starter,3.3,,12.88,,57,60,58,,,,,,,,66,66,62,,,,,,,,,,3.3,12.88,58.33333333,64.66666667,4
644,5576,803,2,11/10/2021,Division 2,Starter,3.2,,12.76,,48,49,49,,,,1.9,1.8,1.84,,68,70,70,,,,,,,,,,3.2,12.76,48.66666667,69.33333333,5
645,5577,803,2,11/10/2021,Division 2,Role Player,3.25,,12.81,,58,51,51,,,,,,,,68,64,66,52,54,54,61,10.4,67,2.23,0.18,19.4,3.25,12.81,53.33333333,66,4
646,5578,803,2,11/10/2021,Division 2,Role Player,3.14,,11.84,,54,54,54,,,,,,,,61,65,62,52,65,64,59.1,13.8,67,2.15,0.17,20.1,3.14,11.84,54,62.66666667,4
647,5579,803,2,11/10/2021,Division 2,Impact Player,3.16,,12.56,,54,56,56,,,,,,,,72,72,72,64,55,63,61,13.4,79,2.52,0.15,18.6,3.16,12.56,55.33333333,72,4
648,5580,803,2,11/10/2021,Division 2,Impact Player,3.18,,12.37,,55,55,54,,,,,,,,61,57,56,75,59,57,53.8,10.3,89,2.01,0.15,17.8,3.18,12.37,54.66666667,58,4
649,5581,803,2,11/10/2021,Division 2,Role Player,3.43,,13.93,,59,60,58,,,,,,,,64,66,62,,,,,,,,,,3.43,13.93,59,64,4
650,5582,803,2,11/10/2021,Division 2,Impact Player,3.04,,12.22,,56,56,49,,,,,,,,63,67,69,53,61,53,62.7,10.3,68,2.38,0.17,19,3.04,12.22,53.66666667,66.33333333,4
651,5583,803,2,11/10/2021,Division 2,Starter,3.07,,11.99,,53,55,54,,,,,,,,61,60,60,59,43,29,55.1,2.1,74,1.57,0.2,15.6,3.07,11.99,54,60.33333333,4
652,5584,803,2,11/10/2021,Division 2,Starter,3.15,,12.81,,59,58,59,,,,1.81,1.85,1.75,,64,59,68,71,46,58,58.3,12,85,2.29,0.15,18.1,3.15,12.81,58.66666667,63.66666667,5
653,5585,803,2,11/10/2021,Division 2,Impact Player,3.17,,11.93,,55,54,57,,,,,,,,69,66,70,60,50,55,58.7,10.9,75,2.2,0.16,16.8,3.17,11.93,55.33333333,68.33333333,4
654,5586,803,2,11/10/2021,Division 2,Role Player,3.18,,12.33,,52,52,53,,,,,,,,66,69,68,36,48,41,61.6,6.1,52,2.21,0.18,16.9,3.18,12.33,52.33333333,67.66666667,4
655,5587,803,2,11/10/2021,Division 2,Role Player,3.19,,12.75,,54,54,49,,,,,,,,65,69,67,32,58,59,57.2,12.3,48,2.09,0.16,16.3,3.19,12.75,52.33333333,67,4
658,5590,803,2,11/10/2021,Division 2,Impact Player,3.29,,12.97,,55,56,58,,,,,,,,69,66,65,66,55,51,60.5,9.5,81,2.31,0.16,17.4,3.29,12.97,56.33333333,66.66666667,4
660,5592,803,2,11/10/2021,Division 2,Starter,3.01,,11.25,,57,58,62,,,,,,,,63,61,61,74,45,45,53.7,7.5,89,1.74,0.17,17.4,3.01,11.25,59,61.66666667,4
1030,3299,820,2,9/7/2021,DIvision 1 Mid-Major,Role Player,3.09,3.17,12.5,,56,59,,,,,,,,,66,66,,78,50,65,56,13.1,92,1.95,0.16,17.2,3.13,12.5,57.5,66,4
1031,3300,820,2,9/7/2021,DIvision 1 Mid-Major,Starter,3.17,3.11,12.62,,55,56,,,,,2.11,1.81,,,63,64,,69,68,48,54.4,7.1,82,1.78,0.16,17.9,3.14,12.62,55.5,63.5,5
1032,3301,820,2,9/7/2021,DIvision 1 Mid-Major,Impact Player,3.1,3.09,11.61,,64,64,,,,,,,,,70,71,,40,49,63,60.3,12.4,52,2.37,0.15,18.4,3.095,11.61,64,70.5,4
1035,3304,820,2,9/7/2021,DIvision 1 Mid-Major,Starter,2.93,2.88,11.83,,50,50,,,,,,,,,65,65,,76,31,64,60.2,12.5,89,2.18,0.16,23.2,2.905,11.83,50,65,4
1037,9662,820,2,9/7/2021,DIvision 1 Mid-Major,Role Player,3.2,3.21,12.4,,54,54,,,,,1.96,1.92,,,71,72,,,,,,,,,,,3.205,12.4,54,71.5,5
1038,3307,820,2,9/7/2021,DIvision 1 Mid-Major,Role Player,3.08,3.11,11.88,,57,57,,,,,,,,,60,61,,,,,,,,,,,3.095,11.88,57,60.5,4
1039,3308,820,2,9/7/2021,DIvision 1 Mid-Major,Starter,2.98,2.93,11.64,,62,64,,,,,,,,,67,68,,50,52,64,60,12.6,63,2.54,0.14,18.4,2.955,11.64,63,67.5,4
1044,3313,820,2,9/7/2021,DIvision 1 Mid-Major,Starter,3.06,3.02,11.97,,58,59,,,,,,,,,63,63,,73,66,44,57.5,6.1,86,1.86,0.18,16.5,3.04,11.97,58.5,63,4
1045,3314,820,2,9/7/2021,DIvision 1 Mid-Major,Starter,3.19,3.18,13.02,,57,59,,,,,,,,,69,68,,60,62,49,60.6,7.4,74,2.23,0.17,17,3.185,13.02,58,68.5,4
1046,3315,820,2,9/7/2021,DIvision 1 Mid-Major,Starter,3.03,3.01,11.88,,60,61,,,,,,,,,66,66,,59,42,47,51.3,7,72,1.53,0.17,17,3.02,11.88,60.5,66,4
1047,3316,820,2,9/7/2021,DIvision 1 Mid-Major,Starter,3.28,3.34,13.22,,59,60,,,,,1.96,1.78,,,73,73,,70,71,53,61.6,8.9,84,2.42,0.16,18.6,3.31,13.22,59.5,73,5
1048,3317,820,2,9/7/2021,DIvision 1 Mid-Major,Starter,3.12,3.1,12.25,,60,62,,,,,,,,,72,72,,62,56,54,60.2,9.4,75,2.1,0.18,16.8,3.11,12.25,61,72,4
1049,9852,820,2,9/7/2021,DIvision 1 Mid-Major,Role Player,3.23,3.11,12.78,,57,59,,,,,,,,,63,64,,,,,,,,,,,3.17,12.78,58,63.5,4
1051,3320,820,2,9/7/2021,DIvision 1 Mid-Major,Starter,2.86,2.98,11.9,,54,55,,,,,,,,,56,58,,74,37,37,50.3,3.7,89,1.35,0.18,16.3,2.92,11.9,54.5,57,4
1304,3402,835,2,9/9/2021,DIvision 1 Mid-Major,Starter,3.09,,12.05,,54,50,,,,,,,,,63,64,,77,55,48,53.9,8.4,91,1.65,0.17,15.8,3.09,12.05,52,63.5,4
1305,3403,835,2,9/9/2021,DIvision 1 Mid-Major,Role Player,3.32,,13.49,,63,61,,,,,,,,,64,66,,62,61,46,57.7,7.7,76,1.81,0.18,16.7,3.32,13.49,62,65,4
1309,3407,835,2,9/9/2021,DIvision 1 Mid-Major,Starter,3.27,,13.39,,51,53,,,,,1.84,1.97,,,69,72,,32,58,55,59.7,10.7,48,1.95,0.18,19.3,3.27,13.39,52,70.5,5
1310,3408,835,2,9/9/2021,DIvision 1 Mid-Major,Starter,3.31,,12.53,,55,55,,,,,,,,,54,54,,49,65,57,56.3,11.6,64,1.84,0.17,18.1,3.31,12.53,55,54,4
